key_id,Job Number,Bin,ProfessionalCertificate,Filing Status,SignoffDate,House Number,Street Name,Community Board,Borough,Longitude,Latitude,Work Type Name,Filing Date,CPE Assigned Date,CPE Action Date,PE Assigned Date,First Objection Date,Latest Objections Date,Latest Resubmit Date,Plan Approved Date,Latest Permit Issued Date,Latest Permit Signed Off Date,Procert QA Supervisior Assigned Date,Procert QA Clerk Assigned Date,QA Failed Date,Job Type,Job Description
M00027908-I1_Side_Walk_Shed,M00027908-I1,1000003,Yes,Permit Entire,,10,SOUTH STREET,101,MANHATTAN,-74.01159,40.70055,Side Walk Shed,3/20/2018,,,,,,,3/21/2018,3/21/2018,,3/20/2018,3/21/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED DURING BUILDING ALTERATION, FILED SEPARATELY. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE. NO CHANGE IN USE, OCCUPANCY OR EGRESS UNDER THIS APPLICATION."
M00052985-I1_Antenna,M00052985-I1,1000022,No,Permit Entire,,100,BROAD STREET,101,MANHATTAN,-74.01214,40.70346,Antenna,7/2/2018,7/2/2018,7/3/2018,7/3/2018,,,,7/5/2018,7/9/2018,,,,,A2,"MODIFICATION TO EXISTING AT&T TELECOMMUNICATIONS SITE. REPLACE RRH UNITS ON ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00063481-I1_Side_Walk_Shed,M00063481-I1,1000025,Yes,Permit Entire,,90,BROAD STREET,101,MANHATTAN,-74.01195,40.70381,Side Walk Shed,7/20/2018,,,,,,,7/23/2018,7/23/2018,,7/20/2018,7/20/2018,,A2,"INSTALLATION OF SIDEWALK SHED . SIDEWALK SHED LIVE LOAD 300 PSF. ALL EQUIPMENT COMPLY WITH CHAPTER #33 OF THE 2014 CODE NO CHANGE TO USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION."
M00077578-I1_Scaffold,M00077578-I1,1000027,Yes,Permit Entire,,1,WHITEHALL STREET,101,MANHATTAN,-74.01276,40.70381,Scaffold,9/24/2018,,,,,,,9/26/2018,9/26/2018,,9/24/2018,9/25/2018,,A2,"INSTALLATION OF PIPE SCAFFOLD AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00028333-I1_Side_Walk_Shed,M00028333-I1,1000031,Yes,Permit Entire,,18,BEAVER STREET,101,MANHATTAN,-74.01238,40.70482,Side Walk Shed,3/20/2018,,,,,,,3/22/2018,3/22/2018,,3/20/2018,3/21/2018,,A2,"PROPOSED INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. LIVE LOAD 300 LBS PER SQUARE FEET. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE. NO CHANGE IN USE, OCCUPANCY, OR EGRESS UNDER THIS APPLICATION."
M00047769-I1_Sprinklers,M00047769-I1,1000038,No,Permit Entire,,80,BROAD STREET,101,MANHATTAN,-74.01185,40.70431,Sprinklers,6/6/2018,6/6/2018,6/8/2018,6/8/2018,6/15/2018,7/3/2018,7/5/2018,7/6/2018,9/17/2018,,,,,A2,"Installation of new sprinkler system on 1-4, 9, 12, 16, 17, 19, 20, 25, 26, 28, 31, 33, 34 floors. Relocation of 16 sprinkler heads on 5th floor. No change in use, egress or occupancy."
M00001909-I1_Side_Walk_Shed,M00001909-I1,1000040,Yes,Signed Off,4/16/2018,15,STONE STREET,101,MANHATTAN,-74.01209,40.70421,Side Walk Shed,11/6/2017,,,,,,,11/6/2017,12/11/2017,,11/6/2017,11/6/2017,,A2,"PROPOSED INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. LIVE LOAD 300 LBS PER SQUARE FEET. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE. NO CHANGE IN USE, OCCUPANCY, OR EGRESS UNDER THIS APPLICATION."
M00051256-I1_Side_Walk_Shed,M00051256-I1,1000043,Yes,Permit Entire,,1,BROADWAY,101,MANHATTAN,-74.01446,40.70495,Side Walk Shed,8/22/2018,,,,,,,9/11/2018,9/11/2018,,8/22/2018,8/23/2018,8/23/2018,A2,"Installation of temporary sidewalk shed per plan submitted. Work shall comply with 2014 building codes chapter 33. No change in use, egress and/or occupancy with this application."
M00061396-I1_Fence,M00061396-I1,1000044,Yes,Permit Entire,,11,BROADWAY,101,MANHATTAN,-74.01427,40.70528,Fence,8/23/2018,,,,,,,8/25/2018,8/25/2018,,8/23/2018,8/23/2018,,A2,"INSTALLATION OF FENCE AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00041541-I1_Side_Walk_Shed,M00041541-I1,1000057,Yes,Permit Entire,,200,LIBERTY STREET,101,MANHATTAN,-74.01556,40.71064,Side Walk Shed,5/23/2018,,,,,,,5/24/2018,5/24/2018,,5/23/2018,5/23/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00077208-I1_Sign,M00077208-I1,1000058,Yes,Permit Entire,,225,LIBERTY STREET,101,MANHATTAN,-74.0153,40.71245,Sign,9/18/2018,,,,,,,9/19/2018,9/20/2018,,9/18/2018,9/19/2018,,A2,"NON ILLUMINATED NON ADVERTISING ACCESSORY WALL SIGN - INSIDE PROPERTY LINES - BROOKFIELD PLACE. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
M00077122-I1_Sign,M00077122-I1,1000060,Yes,Permit Entire,,250,VESEY STREET,101,MANHATTAN,-74.01588,40.71403,Sign,9/18/2018,,,,,,,9/19/2018,9/19/2018,,9/18/2018,9/19/2018,,A2,"NON ILLUMINATED NON ADVERTISING ACCESSORY WALL SIGN - INSIDE PROPERTY LINES - BROOKFIELD PLACE. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
M00037956-P1_Side_Walk_Shed,M00037956-P1,1000793,Yes,Approved,,90,WASHINGTON STREET,101,MANHATTAN,-74.01485,40.70807,Side Walk Shed,5/16/2018,,,,,,,5/16/2018,,,5/16/2018,5/16/2018,,A2,"INSTALLATION OF TEMPORARY HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE.LIVE LOAD 300PSF."
